Path,Pitch,PercentSilence,FrequencyMagnitude
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_2.wav,"[43.207188, 49.8942, 48.831657, 49.97323, 43.5732, 30.85745, 20.539104]","[81.56462585034014, 59.8140589569161, 87.71882086167801, 39.77777777777778, 21.58730158730158, 15.083900226757379, 47.934085513974736]","[(2992, 898.4306920077909), (33807, 13.295414648357283), (45120, 9.958231085435155), (88171, 3.0483700440333372), (109230, 9.958231085435154), (120543, 13.295414648357273), (151358, 898.4306920077909)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_3.wav,"[57.215935, 50.02176, 70.64308, 46.94226, 52.96452, 30.032038, 21.537058]","[75.24263038548753, 32.27210884353741, 86.94331065759637, 71.94557823129252, 7.981859410430843, 77.13832199546485, 78.33284067395803]","[(5150, 533.0595698764591), (23559, 26.190470059891133), (46458, 11.720294484954476), (71566, 3.361370020431506), (107892, 11.720294484954472), (130791, 26.190470059891144), (149200, 533.0595698764591)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_4.wav,"[108.89818, 85.89135, 92.36374, 98.13329, 92.20973, 98.63934, 117.81178]","[54.1859410430839, 43.42857142857143, 44.14965986394558, 49.29251700680272, 75.79591836734694, 76.37641723356009, 48.42548029723231]","[(849, 129.261525241001), (28824, 46.742923183603345), (51406, 54.09778792656675), (85653, 44.12244758842178), (102944, 54.09778792656675), (125526, 46.742923183603345), (153501, 129.261525241001)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_5.wav,"[38.96396, 32.857742, 35.545864, 31.753113, 28.347912, 27.05675, 32.342148]","[62.240362811791385, 48.585034013605444, 47.88662131519275, 79.62358276643991, 36.92063492063492, 18.040816326530617, 83.84041684836693]","[(5693, 324.6640536991766), (22213, 14.01459215675004), (60950, 7.0896657487571115), (83663, 5.6131770566444255), (93400, 7.089665748757106), (132137, 14.014592156750039), (148657, 324.6640536991766)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_6.wav,"[23.893002, 74.86214, 77.65517, 66.433174, 34.31983, 27.470703, 0.0]","[11.89569160997732, 48.45804988662131, 47.63718820861678, 29.469387755102034, 93.40136054421768, 71.33333333333333, 21.44860989557732]","[(3900, 520.8078352688254), (24454, 8.712108488631266), (46250, 7.397514196609759e-05), (76620, 1.8411444442150495e-05), (108100, 7.397514197429874e-05), (129896, 8.712108488631257), (150450, 520.8078352688257)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_7.wav,"[57.10365, 50.152107, 55.02142, 54.269577, 57.609737, 55.549347, 56.379997]","[63.43764172335601, 35.28344671201815, 26.48979591836735, 37.92743764172336, 43.89569160997733, 21.54648526077098, 21.79484904672765]","[(2677, 241.40688297472747), (27450, 8.20970383398193), (51901, 2.352614974926221), (88142, 1.4587558686215403), (102449, 2.3526149749262126), (126900, 8.209703833981933), (151673, 241.40688297472744)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/cho/dog_9.wav,"[60.7423, 68.910034, 51.94919, 31.09864, 24.710897, 35.11922, 50.22746]","[53.77777777777778, 53.863945578231295, 45.12471655328798, 29.600907029478464, 34.63038548752834, 48.00453514739229, 19.88069634062714]","[(3744, 386.0350949923864), (39269, 53.85962427235281), (44252, 11.196875181468164), (67011, 3.034041198756171), (110098, 11.196875181468178), (115081, 53.85962427235281), (150606, 386.0350949923864)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/chuot/mouse_3.wav,"[79.87887, 76.59487, 56.353592, 46.096767, 75.78904, 70.61616, 75.12221]","[66.00453514739229, 75.156462585034, 42.058956916099774, 41.301587301587304, 72.61678004535148, 42.249433106575964, 74.55621301775147]","[(16476, 96.3461346061146), (31541, 98.14737195575245), (61841, 86.07752682661882), (70086, 55.87039895412403), (92509, 86.07752682661882), (122809, 98.14737195575242), (137874, 96.3461346061146)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_10.wav,"[36.02686, 0.0, 36.38557, 0.0, 35.46249, 0.0, 35.80536]","[22.2766439909297, 92.47165532879819, 100.0, 87.00680272108843, 84.6938775510204, 100.0, 86.38431676378713]","[(5760, 197.48572514070628), (23005, 61.75845610374714), (55267, 18.766267100152582), (66959, 6.6494436339662615), (99083, 18.766267100152586), (131345, 61.758456103747136), (148590, 197.48572514070625)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_11.wav,"[7.652371, 27.84285, 7.5745516, 47.478848, 16.687279, 27.501936, 7.9348145]","[100.0, 73.4875283446712, 96.75736961451247, 100.0, 82.19501133786848, 88.01814058956916, 88.83760416065674]","[(5758, 260.8301813685649), (23007, 80.84345158828489), (45294, 20.90056896644545), (87216, 6.399264026720055), (109056, 20.90056896644545), (131343, 80.84345158828488), (148592, 260.830181368565)]"
